016457382,EN-US,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
813462570,FR-CA,Tout à fait d'accord,Tout à fait d'accord,D'accord,D'accord,Ni d'accord ni en désaccord,D'accord,Tout à fait d'accord,D'accord,Ni d'accord ni en désaccord
201348765,ES-US,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo
145783206,EN-US,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
283401567,FR-CA,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,D'accord,Ni d'accord ni en désaccord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Ni d'accord ni en désaccord
573642018,ES-US,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo
687240153,EN-US,Strongly agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Neither agree nor disagree
504861372,FR-CA,Tout à fait d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Ni d'accord ni en désaccord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Ni d'accord ni en désaccord
340168572,ES-US,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
376041825,EN-US,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Neither agree nor disagree
032764815,FR-CA,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,D'accord,Ni d'accord ni en désaccord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Ni d'accord ni en désaccord
586203174,ES-US,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
350721648,EN-US,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
137628450,FR-CA,Tout à fait d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Ni d'accord ni en désaccord,D'accord,Tout à fait d'accord,D'accord,Ni d'accord ni en désaccord
